ds,y
2023-01-01,1049.6714153011233
2023-01-02,986.1735698828816
2023-01-03,1064.7688538100692
2023-01-04,1152.3029856408025
2023-01-05,976.5846625276664
2023-01-06,976.586304305082
2023-01-07,1157.9212815507392
2023-01-08,1076.7434729152908
2023-01-09,953.0525614065048
2023-01-10,1054.2560043585966
2023-01-11,953.6582307187538
2023-01-12,953.4270246429743
2023-01-13,1024.1962271566035
2023-01-14,808.6719755342202
2023-01-15,827.5082167486967
2023-01-16,943.7712470759027
2023-01-17,898.7168879665576
2023-01-18,1031.4247332595273
2023-01-19,909.197592447879
2023-01-20,858.7696298664708
2023-01-21,1146.5648768921553
2023-01-22,977.4223699513465
2023-01-23,1006.7528204687924
2023-01-24,857.5251813786543
2023-01-25,945.5617275474817
2023-01-26,1011.0922589709866
2023-01-27,884.9006422577697
2023-01-28,1037.5698018345672
2023-01-29,939.9361310081194
2023-01-30,970.8306250206723
2023-01-31,939.8293387770603
2023-02-01,1185.2278184508937
2023-02-02,998.6502775262067
2023-02-03,894.2289071044099
2023-02-04,1082.254491210319
2023-02-05,877.9156350028977
2023-02-06,1020.8863595004756
2023-02-07,804.0329876120225
2023-02-08,867.1813951101569
2023-02-09,1019.6861235869123
2023-02-10,1073.846657999541
2023-02-11,1017.1368281189971
2023-02-12,988.435171761176
2023-02-13,969.8896304410712
2023-02-14,852.1478009632573
2023-02-15,928.0155791605291
2023-02-16,953.9361229040212
2023-02-17,1105.7122226218917
2023-02-18,1034.3618289568462
2023-02-19,823.6959844637266
2023-02-20,1032.4083969394794
2023-02-21,961.4917719583683
2023-02-22,932.3077999694042
2023-02-23,1061.1676288840868
2023-02-24,1103.0999522495952
2023-02-25,1093.1280119116198
2023-02-26,916.0782476777362
2023-02-27,969.0787624148785
2023-02-28,1033.1263431403563
2023-03-01,1097.554512712236
2023-03-02,952.082576215471
2023-03-03,981.4341023336183
2023-03-04,889.3665025993972
2023-03-05,880.3793375919329
2023-03-06,1081.2525822394198
2023-03-07,1135.6240028570824
2023-03-08,992.7989878419667
2023-03-09,1100.3532897892023
2023-03-10,1036.1636025047635
2023-03-11,935.4880245394876
2023-03-12,1036.1395605508415
2023-03-13,1153.803656646597
2023-03-14,996.4173960890048
2023-03-15,1156.4643655814007
2023-03-16,738.0254895910256
2023-03-17,1082.1902504375223
2023-03-18,1008.7047068238171
2023-03-19,970.0992649534132
2023-03-20,1009.1760776535502
2023-03-21,801.2431085399107
2023-03-22,978.0328112162488
2023-03-23,1035.7112571511746
2023-03-24,1147.7894044741515
2023-03-25,948.1729781726352
2023-03-26,919.1506397106813
2023-03-27,949.8242956415463
2023-03-28,1091.5402117702074
2023-03-29,1032.8751109659684
2023-03-30,947.0239796232961
2023-03-31,1051.3267433113356
2023-04-01,1009.707754934804
2023-04-02,1096.864499053289
2023-04-03,929.7946906122647
2023-04-04,967.2337853402232
2023-04-05,960.7891846867842
2023-04-06,853.6485051867882
2023-04-07,1029.6120277064576
2023-04-08,1026.105527217989
2023-04-09,1000.511345664246
2023-04-10,976.5412866624853
2023-04-11,858.4629257949586
2023-04-12,957.9354677234641
2023-04-13,965.728548347323
2023-04-14,919.7722730778381
2023-04-15,983.8714288333991
